	0
a	323
a.d	1
abandoned	1
abdominal	1
abdullatîf	1
abendland	2
abide	1
able	4
abolished	4
about	22
above	4
abroad	1
abruptly	1
absolute	2
absolutely	1
abu'l	1
abul	10
abundant	1
accept	1
accepted	3
accepting	1
access	11
accessed	1
accessible	1
accession	4
accommodated	1
accompanied	4
accomplices	1
accomplish	1
accomplished	4
accomplishment	1
accordance	2
according	15
accordingly	4
account	4
accounts	2
accustomed	2
acreage	1
across	1
act	3
active	3
actively	1
activities	2
activity	2
actual	4
actualized	1
actually	2
added	1
addition	2
additional	4
additions	2
address	2
addresses	1
adham	9
adherents	3
administration	4
administrative	2
admirably	1
admiration	3
admired	1
adopted	1
adoption	1
adoration	1
advance	2
advanced	2
advancement	1
advancing	1
advantage	1
advantageous	1
advisable	1
affairs	3
affection	1
afghan	2
afghanistan	1
afghans	1
africa	1
after	29
afterwards	2
again	8
against	18
age	3
agent	1
ages	4
agra	5
agree	9
agreed	1
agreement	18
agriculture	2
aim	1
aimless	1
ajmir	1
ak	1
akbar	150
akbar's	52
akbarnâme	2
alarm	1
alien	1
alive	1
all	58
all-one	1
alleged	1
allegiance	1
allow	2
allowing	1
allâhu	2
almost	8
alone	6
along	1
aloud	1
already	5
also	37
alteration	1
alternate	1
although	4
always	7
amarkot	1
ambir	1
ambition	2
ambitious	3
amid	2
among	7
amount	1
amounted	1
ample	1
an	58
analogies	1
analysis	1
ancestor	1
ancient	3
and	478
anew	1
angry	1
animal's	1
animals	8
annihilated	1
another	3
answer	1
antagonisms	1
antiquity	1
anxious	1
any	51
anyone	5
anything	2
anywhere	2
anâga	5
apart	2
apartments	1
apotheosis	1
apparent	2
apparently	4
appeals	1
appear	4
appearance	2
appeared	4
appearing	1
appears	3
applause	1
applicable	3
applied	1
apply	2
appointment	1
appreciate	1
appreciated	1
appreciation	1
approach	1
approaching	1
appropriated	1
april	2
aquaviva	1
arabic	3
arable	2
architecture	1
archive	13
are	31
arguments	1
arise	2
arm	1
armories	1
arms	3
army	3
arose	1
around	4
arouse	1
aroused	4
arouses	1
arranged	1
arrangement	1
array	1
arrival	1
arrived	1
arrogance	1
arsenals	1
art	4
articles	1
artillery	2
artistic	1
as	105
as-is	1
asad	1
ascended	2
ascension	1
ascertaining	2
ascii	2
ascribed	1
asia	1
assassins	1
assembled	1
assemblies	3
assented	1
assertion	1
assessed	1
assessment	1
assigned	2
assistance	1
assisted	1
associated	8
assume	1
assumed	4
assumption	1
astonishing	1
at	86
ate	2
atrocious	1
attached	1
attachment	1
attained	4
attainment	1
attains	1
attempt	2
attempts	1
attendance	1
attendants	1
attending	1
attention	3
attitude	1
attracted	1
attractive	1
audience	1
audiences	1
august	2
aurungzeb	1
author	3
author's	1
authority	3
available	2
availed	1
avarice	2
avaricious	1
avoided	1
await	1
away	5
away--you	1
aîn	1
b	5
baber	4
baber's	1
back	3
bad	1
bad;--perhaps	1
bade	1
badly	1
badâoni	1
bairâm	7
bamboo	1
band	1
banishment	1
baptized	1
bar	1
barbaric	1
barbarous	1
bared	1
barefooted	2
barons	1
bartholemew	1
based	3
basis	3
bastinado	1
batteries	1
battle	3
battlements	1
battles	4
battue	1
